starts fetching pub dev stats...
Fetching data for 10/250 packages ...
Fetching data for 20/250 packages ...
Fetching data for 30/250 packages ...
Fetching data for 40/250 packages ...
Fetching data for 50/250 packages ...
Fetching data for 60/250 packages ...
Fetching data for 70/250 packages ...
Fetching data for 80/250 packages ...
Fetching data for 90/250 packages ...
Fetching data for 100/250 packages ...
Fetching data for 110/250 packages ...
Fetching data for 120/250 packages ...
Fetching data for 130/250 packages ...
Fetching data for 140/250 packages ...
Fetching data for 150/250 packages ...
Fetching data for 160/250 packages ...
Fetching data for 170/250 packages ...
Fetching data for 180/250 packages ...
Fetching data for 190/250 packages ...
Fetching data for 200/250 packages ...
Fetching data for 210/250 packages ...
Fetching data for 220/250 packages ...
Fetching data for 230/250 packages ...
Fetching data for 240/250 packages ...
Fetching data for 250/250 packages ...
┌─────────┬──────────────────────────────────┬───────┬────────┬────────────┬────────────┬──────────────┬───────────────────────────────────┬────────────────────────┐
│ (index) │               name               │ likes │ health │ popularity │ isNullSafe │ isFlutterFav │              version              │       developer        │
│   155   │      'firebase_crashlytics'      │  373  │  110   │     99     │    true    │    false     │              '2.0.1'              │ 'firebase.google.com'  │
│   156   │            'confetti'            │  371  │  110   │     95     │   false    │    false     │      '0.5.50.6.0-nullsafety'      │     'funwith.app'      │
│   157   │         'flutter_sound'          │  370  │  130   │     96     │    true    │    false     │              '8.1.1'              │    'dooboolab.com'     │
│   158   │          'giffy_dialog'          │  368  │  100   │     94     │   false    │    false     │              '1.8.0'              │       undefined        │
│   159   │        'flutter_riverpod'        │  366  │  130   │     98     │    true    │    false     │            '0.14.0+2'             │       undefined        │
│   160   │        'keyboard_actions'        │  360  │  130   │     97     │    true    │    false     │              '3.4.0'              │   'diegoveloper.com'   │
│   161   │       'modal_progress_hud'       │  360  │  100   │     98     │   false    │    false     │              '0.1.3'              │       undefined        │
│   162   │           'injectable'           │  358  │  130   │     97     │    true    │    false     │              '1.2.2'              │       undefined        │
│   163   │          'avatar_glow'           │  360  │  120   │     96     │    true    │    false     │              '2.0.1'              │       undefined        │
│   164   │          'like_button'           │  358  │  130   │     96     │    true    │    false     │              '2.0.2'              │  'fluttercandies.com'  │
