
A total of 24/250 top packages come from Google
┌─────────┬──────────────────────────────┬───────┬────────┬────────────┬──────────┬──────────┬────────────────────────────┬───────────────┐
│ (index) │             name             │ likes │ health │ popularity │ nullSafe │ endorsed │          version           │   developer   │
│   145   │          'liquid_swipe'          │  427  │  130   │     97     │   true   │  false   │              '2.1.0'              │   'sahdeepsingh.com'   │
│   146   │    'flutter_platform_widgets'    │  425  │  110   │     96     │   true   │  false   │              '1.9.0'              │     'stryder.dev'      │
│   147   │         'auto_animated'          │  424  │  130   │     93     │   true   │  false   │              '3.0.0'              │    'serge.software'    │
│   148   │            'retrofit'            │  423  │  130   │     97     │   true   │  false   │              '2.0.0'              │       'mings.in'       │
│   149   │            'sembast'             │  421  │  130   │     97     │   true   │  false   │             '3.1.0+2'             │     'tekartik.com'     │
│   150   │        'flutter_riverpod'        │  423  │  130   │     98     │   true   │  false   │            '0.14.0+3'             │       undefined        │
│   151   │             'crypto'             │  420  │  130   │    100     │   true   │  false   │              '3.0.1'              │       'dart.dev'       │
│   152   │      'tutorial_coach_mark'       │  417  │  110   │     95     │   true   │  false   │              '1.0.0'              │       undefined        │
│   153   │        'background_fetch'        │  417  │  100   │     96     │  false   │  false   │     '0.7.21.0.0-nullsafety.2'     │  'transistorsoft.com'  │
│   154   │  'syncfusion_flutter_calendar'   │  413  │  130   │     96     │   true   │  false   │             '19.1.66'             │    'syncfusion.com'    │
│   155   │     'flutter_webview_plugin'     │  412  │  115   │     98     │   true   │  false   │              '0.4.0'              │ 'fluttercommunity.dev' │
│   156   │          'flutter_map'           │  412  │   55   │     98     │  false   │  false   │             '0.12.0'              │      'jpryan.me'       │
│   157   │          'like_button'           │  408  │  130   │     96     │   true   │  false   │              '2.0.2'              │  'fluttercandies.com'  │
│   158   │          'flutter_blue'          │  406  │  100   │     97     │   true   │  false   │              '0.8.0'              │   'pauldemarco.com'    │
│   159   │             'flash'              │  405  │  130   │     97     │   true   │  false   │              '2.0.0'              │       undefined        │
│   160   │       'feature_discovery'        │  405  │  120   │     93     │   true   │  false   │             '0.14.0'              │       undefined        │
